prefix,origin_asn
41.215.132.0/24,36866
41.215.133.0/24,36866
41.215.135.0/25,64515
41.215.136.0/22,36866
41.215.137.0/24,36866
41.215.138.0/23,36866
41.215.139.0/24,36866
41.215.140.0/22,36866
41.215.140.0/23,36866
41.215.140.0/24,36866
41.215.142.0/23,36866
41.215.143.0/24,36866
41.215.176.0/20,36959
41.215.176.0/21,36959
41.215.184.0/21,36959
41.215.244.0/24,36920
41.216.161.0/24,37088
41.216.165.0/24,37088
41.216.171.0/24,37088
41.216.192.0/20,37105
41.216.228.0/24,37098
41.216.229.0/24,37098
41.216.230.0/24,37098
41.216.231.0/24,37098
41.217.0.0/23,37340
41.217.4.0/23,37340
41.217.6.0/23,37340
41.217.8.0/23,37340
41.217.10.0/23,37340
41.217.12.0/24,37340
41.217.18.0/24,37340
41.217.19.0/24,37340
41.217.20.0/24,37340
41.217.21.0/24,37340
41.217.22.0/24,37340
41.217.23.0/24,37340
41.217.24.0/24,37340
41.217.25.0/24,37340
41.217.26.0/24,37340
41.217.27.0/24,37340
41.217.29.0/24,37340
41.217.39.0/24,37340
41.217.98.0/23,37340
41.217.100.0/23,37340
41.217.106.0/23,37340
41.217.110.0/23,37340
41.217.118.0/23,37340
41.217.126.0/23,37340
41.217.220.0/24,37109
41.217.221.0/24,37109
41.217.222.0/24,37109
41.217.223.0/24,37109
41.217.232.0/21,37113
41.217.232.0/22,37113
41.217.232.0/23,37113
41.217.232.0/24,37113
41.217.233.0/24,37113
41.217.234.0/23,37113
41.217.234.0/24,37113
41.217.235.0/24,37113
41.217.236.0/22,37113
41.217.236.0/23,37113
41.217.236.0/24,37113
41.217.237.0/24,37113
41.217.238.0/23,37113
41.217.238.0/24,37113
41.217.239.0/24,37113
41.220.16.0/20,37204
41.220.16.0/24,37204
41.220.25.0/24,37204
41.220.27.0/24,37204
41.220.27.10/31,37662
41.220.28.0/24,37204
41.220.30.0/24,37204
41.220.31.0/24,37204
41.220.112.0/20,15808
41.220.112.0/21,15808
41.220.120.0/21,15808
41.220.176.0/20,31810
41.221.32.0/20,37084
41.221.32.0/21,37084
41.221.32.0/24,37084
